	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
0	0.398	0.952	-6.042	0.061	0.000373	7.75e-05	0.1	0.584	122.093	278680.0
1	0.711	0.833	-12.756	0.0851	0.0144	3.46e-06	0.303	0.756	103.153	203227.0
2	0.276	0.715	-5.356	0.0432	0.00552	0.000417	0.201	0.173	137.028	230760.0
3	0.309	0.649	-8.994	0.035	0.0158	0.00591	0.367	0.312	166.915	306440.0
4	0.575	0.555	-7.495	0.0453	0.103	1.3e-06	0.111	0.504	95.361	232467.0
5	0.613	0.72	-7.957	0.0425	0.0132	0.0	0.104	0.561	117.341	265867.0
6	0.794	0.832	-4.862	0.0407	0.237	1.14e-05	0.203	0.871	107.657	196160.0
7	0.831	0.921	-2.383	0.0582	0.153	0.00224	0.305	0.795	108.002	239227.0
8	0.642	0.352	-13.747	0.0785	0.024	0.00136	0.105	0.571	130.007	291805.0
9	0.511	0.574	-7.016	0.0273	0.0425	2.33e-05	0.105	0.161	119.917	280040.0
10	0.486	0.617	-7.115	0.0287	0.0954	3.23e-06	0.109	0.417	138.015	242373.0
11	0.817	0.599	-9.249	0.0328	0.132	0.000311	0.0873	0.548	108.873	245640.0
12	0.765	0.837	-3.113	0.032	0.00107	1.06e-05	0.0801	0.721	122.028	195973.0
13	0.543	0.912	-10.71	0.0601	0.00162	2.1e-06	0.0565	0.836	103.731	256733.0
14	0.539	0.715	-6.639	0.0595	0.0265	0.0	0.609	0.489	123.854	165524.0
15	0.286	0.5	-14.281	0.0357	0.134	4.57e-05	0.108	0.443	99.162	343933.0
16	0.488	0.862	-7.595	0.0476	0.0204	0.0	0.359	0.706	104.56	257827.0
17	0.803	0.718	-6.457	0.0357	0.082	0.00094	0.0791	0.933	115.023	247160.0
18	0.739	0.459	-14.42	0.0294	0.129	0.0194	0.0474	0.892	107.115	222320.0
19	0.679	0.659	-10.826	0.0269	0.0771	4.12e-06	0.316	0.528	154.171	306227.0
20	0.731	0.85	-4.913	0.0336	0.252	0.0	0.605	0.644	119.706	157478.0
21	0.369	0.762	-8.993	0.0464	0.22	2.8e-05	0.579	0.644	84.957	302107.0
22	0.555	0.757	-7.868	0.0601	0.103	1.16e-06	0.0631	0.582	129.607	221840.0
23	0.602	0.905	-4.046	0.0775	0.000202	0.064	0.117	0.411	128.019	304840.0
24	0.473	0.898	-4.797	0.0561	0.00783	0.0618	0.173	0.808	96.556	235547.0
25	0.526	0.358	-7.239	0.0243	0.525	0.0	0.0942	0.399	78.989	238027.0
26	0.419	0.672	-6.353	0.092	0.623	0.0	0.412	0.304	105.212	316467.0
27	0.611	0.742	-8.391	0.0259	0.343	0.0	0.412	0.839	128.582	218160.0
28	0.625	0.533	-11.903	0.0596	0.659	0.00266	0.0546	0.139	108.296	300840.0
29	0.508	0.834	-6.205	0.0386	0.0183	0.0	0.0732	0.774	139.131	216053.0
30	0.672	0.642	-4.035	0.0313	0.0981	0.0	0.1	0.494	121.981	196453.0
31	0.726	0.449	-9.206	0.0286	0.487	1.34e-06	0.0824	0.294	130.388	241333.0
32	0.52	0.652	-6.655	0.0274	0.34	5.49e-05	0.256	0.722	80.609	258787.0
33	0.511	0.907	-6.639	0.036	0.00755	0.000211	0.169	0.46	98.028	205760.0
34	0.792	0.625	-5.609	0.0536	0.00776	0.0018	0.329	0.37	103.967	173987.0
35	0.792	0.625	-5.609	0.0536	0.00776	0.0018	0.329	0.37	103.967	173987.0
36	0.551	0.913	-4.063	0.0466	0.0263	1.35e-05	0.347	0.544	119.992	224493.0
37	0.615	0.783	-8.716	0.0303	0.0717	0.000109	0.215	0.634	115.133	251853.0
38	0.805	0.602	-9.7	0.0579	0.119	0.000122	0.0581	0.744	94.382	238600.0
39	0.671	0.373	-18.064	0.0323	0.257	8.01e-05	0.0481	0.732	92.718	295893.0
40	0.408	0.582	-8.305	0.0508	0.218	0.0	0.159	0.365	114.926	230000.0
41	0.577	0.749	-7.215	0.0279	0.599	0.0115	0.183	0.255	130.97	307880.0
42	0.584	0.778	-5.493	0.0368	0.283	0.0	0.0836	0.597	112.109	280973.0
43	0.777	0.818	-5.64	0.0462	0.0906	2.98e-05	0.714	0.847	118.405	312413.0
44	0.56	0.303	-17.382	0.104	0.687	1.41e-05	0.0923	0.443	104.687	251400.0
45	0.581	0.886	-7.558	0.1	0.237	0.000622	0.153	0.923	176.639	226098.0
46	0.502	0.912	-4.556	0.0564	2.55e-05	0.000173	0.106	0.72	116.761	301920.0
47	0.19	0.265	-9.206	0.0356	0.863	0.0	0.134	0.101	79.012	262533.0
48	0.294	0.641	-9.316	0.0291	0.0163	0.22	0.112	0.226	79.759	536067.0
49	0.73	0.769	-5.114	0.0298	0.138	0.0	0.0473	0.507	104.948	228093.0
50	0.66	0.927	-5.867	0.156	0.461	5.73e-05	0.699	0.458	136.247	211533.0
51	0.778	0.824	-5.892	0.0707	0.284	0.0	0.405	0.758	100.024	218093.0
52	0.59	0.868	-5.832	0.048	0.0962	0.000322	0.442	0.798	184.348	230640.0
53	0.575	0.886	-5.182	0.034	0.0647	0.000187	0.709	0.609	96.31	244667.0
54	0.708	0.611	-9.889	0.0378	0.0992	2.51e-05	0.0889	0.799	126.093	201387.0
55	0.82	0.937	-4.81	0.0549	0.135	0.000122	0.35	0.906	130.992	239400.0
56	0.765	0.29	-17.117	0.139	0.0279	0.0	0.571	0.506	92.409	298773.0
57	0.766	0.857	-8.647	0.03	0.0414	0.366	0.0288	0.967	131.982	495773.0
58	0.71	0.799	-4.897	0.0328	0.22	0.000602	0.349	0.725	120.372	238267.0
59	0.707	0.462	-11.448	0.0359	0.67	0.0184	0.117	0.662	117.007	235373.0
60	0.431	0.723	-5.887	0.0568	0.145	0.0	0.374	0.19	130.141	267360.0
61	0.663	0.746	-3.567	0.0321	0.0697	0.0	0.0929	0.325	102.847	257427.0
62	0.743	0.836	-6.465	0.116	0.0804	0.0	0.384	0.82	113.375	188987.0
63	0.673	0.886	-4.44	0.0431	0.185	0.0	0.0826	0.795	97.012	216773.0
64	0.465	0.907	-6.404	0.113	0.0241	0.00118	0.13	0.681	117.293	238973.0
65	0.572	0.835	-6.219	0.0317	0.171	0.000377	0.0702	0.795	129.981	241600.0
66	0.63	0.788	-6.7	0.0298	0.00322	0.0237	0.0883	0.63	120.059	241080.0
67	0.22	0.44	-9.456	0.0352	0.503	0.862	0.12	0.13	79.095	419400.0
68	0.666	0.855	-5.051	0.0295	0.179	1.2e-06	0.0987	0.803	125.639	268427.0
69	0.755	0.763	-6.318	0.0473	0.405	0.0	0.318	0.932	122.045	248000.0
70	0.489	0.676	-8.769	0.0368	0.287	0.0	0.389	0.622	89.749	256960.0
71	0.399	0.881	-4.341	0.0347	0.0019	0.00429	0.39	0.272	84.58	380893.0
72	0.579	0.954	-3.947	0.0558	0.583	0.0	0.139	0.583	93.448	265693.0
73	0.719	0.461	-8.191	0.0454	0.279	0.0	0.0875	0.548	123.915	209200.0
74	0.449	0.961	-4.305	0.0701	0.00854	0.00276	0.343	0.602	93.956	321827.0
75	0.619	0.67	-10.322	0.0353	0.00165	0.0109	0.331	0.777	129.269	211933.0
76	0.666	0.788	-7.02	0.0276	0.0884	0.0628	0.298	0.675	111.257	260773.0
77	0.621	0.601	-5.616	0.148	0.0522	0.0	0.46	0.457	116.735	163636.0
78	0.563	0.592	-4.571	0.0276	0.209	5.08e-05	0.132	0.136	104.016	267933.0
79	0.82	0.452	-9.796	0.0348	0.543	0.00294	0.0714	0.74	117.401	253920.0
80	0.818	0.705	-6.679	0.177	0.00836	0.00233	0.613	0.772	138.559	222640.0
81	0.547	0.394	-9.793	0.0262	0.0522	6.4e-06	0.0795	0.17	142.37	388733.0
82	0.446	0.239	-13.945	0.0316	0.551	4.1e-06	0.0697	0.298	189.507	336453.0
83	0.532	0.887	-3.757	0.0335	0.0778	0.000214	0.294	0.795	122.511	249293.0
84	0.356	0.917	-6.006	0.0479	0.0335	0.0	0.406	0.518	171.176	357267.0
85	0.768	0.852	-6.215	0.038	0.214	7.36e-05	0.0723	0.867	128.373	271240.0
86	0.559	0.345	-13.496	0.0459	0.0576	0.000105	0.141	0.458	84.581	264307.0
87	0.697	0.944	-2.796	0.0327	0.00173	0.000162	0.32	0.846	119.994	223627.0
88	0.452	0.524	-10.108	0.0351	0.315	0.0	0.103	0.246	151.505	312360.0
89	0.514	0.898	-6.765	0.0577	0.00488	0.0345	0.0746	0.353	123.067	287907.0
90	0.367	0.452	-10.422	0.0307	0.0353	0.00228	0.689	0.189	113.066	520787.0
91	0.741	0.29	-13.251	0.0302	0.294	0.118	0.0924	0.443	93.699	195080.0
92	0.693	0.497	-7.316	0.119	0.679	0.0	0.258	0.473	81.308	122067.0
93	0.375	0.893	-4.097	0.0406	0.000509	0.0	0.187	0.434	174.323	258773.0
94	0.546	0.843	-5.821	0.0326	0.12	4.98e-05	0.0618	0.783	129.894	244107.0
95	0.638	0.906	-4.824	0.0504	0.0662	6.88e-05	0.142	0.767	107.991	209200.0
96	0.795	0.433	-8.927	0.0324	0.0853	0.000284	0.0762	0.6	108.947	258013.0
97	0.446	0.764	-5.042	0.033	0.00135	0.0	0.099	0.543	172.094	223840.0
98	0.652	0.609	-9.684	0.028	0.298	8.79e-06	0.0573	0.646	98.125	230107.0
99	0.709	0.824	-8.824	0.0453	0.207	0.000307	0.0888	0.867	118.818	291293.0
100	0.807	0.893	-3.745	0.0347	0.0451	2.79e-05	0.366	0.537	126.011	230747.0
101	0.833	0.619	-5.595	0.0538	0.111	2.13e-05	0.159	0.901	109.92	306560.0
102	0.603	0.67	-3.882	0.0249	0.00408	1.68e-06	0.112	0.446	107.993	242974.0
103	0.498	0.59	-4.721	0.032	0.511	0.0	0.107	0.0784	145.867	217867.0
104	0.458	0.843	-7.201	0.0316	0.00135	0.000296	0.778	0.713	105.701	228427.0
105	0.556	0.864	-5.87	0.0584	0.00958	0.0	0.209	0.4	105.143	216880.0
106	0.573	0.902	-7.638	0.054	0.018	0.00125	0.0928	0.876	84.412	225280.0
107	0.802	0.502	-7.136	0.059	0.856	0.0	0.256	0.675	123.097	208293.0
108	0.496	0.682	-4.095	0.0294	0.00552	2.94e-05	0.0589	0.474	167.06	262333.0
109	0.464	0.795	-9.267	0.0926	0.0493	0.00244	0.399	0.612	158.691	202267.0
110	0.744	0.766	-6.375	0.0265	0.0873	0.0	0.509	0.61	127.966	289133.0
111	0.496	0.739	-7.193	0.0415	0.0211	0.00444	0.106	0.378	132.41	336000.0
112	0.593	0.67	-6.19	0.0269	0.0516	0.00226	0.0882	0.581	105.591	218533.0
113	0.515	0.835	-3.564	0.0293	0.00146	0.000235	0.101	0.457	94.015	215160.0
114	0.695	0.336	-12.999	0.0313	0.8	0.00264	0.701	0.422	79.109	280000.0
115	0.718	0.731	-6.454	0.042	0.208	0.201	0.083	0.619	122.839	333333.0
116	0.467	0.324	-10.451	0.0255	0.615	0.0248	0.118	0.166	94.301	320267.0
117	0.853	0.599	-4.756	0.0411	0.00334	7.93e-06	0.0759	0.843	119.993	263827.0
118	0.315	0.715	-8.072	0.0362	0.00125	7.97e-06	0.0942	0.497	155.925	289533.0
119	0.135	0.399	-8.67	0.0361	0.577	0.00104	0.115	0.0383	87.476	295347.0
120	0.526	0.365	-12.605	0.028	0.0775	1.35e-05	0.0618	0.253	131.253	394133.0
121	0.598	0.624	-6.923	0.0332	0.00107	0.0795	0.0826	0.0451	98.004	264827.0
122	0.837	0.38	-13.341	0.064	0.541	0.00789	0.198	0.892	104.995	267947.0
123	0.47	0.494	-8.672	0.0349	0.302	0.0	0.0672	0.0524	144.039	250100.0
124	0.72	0.715	-4.652	0.04	0.258	0.0568	0.107	0.357	107.041	193813.0
125	0.306	0.722	-5.963	0.034	0.0519	0.0	0.117	0.41	174.732	200293.0
126	0.742	0.533	-9.098	0.0288	0.459	0.148	0.064	0.391	97.395	329147.0
127	0.595	0.426	-9.763	0.0285	0.293	1.32e-06	0.171	0.268	110.183	336160.0
128	0.801	0.723	-4.985	0.0689	0.0713	0.154	0.0675	0.883	109.03	180518.0
129	0.514	0.65	-8.867	0.499	0.138	0.0	0.103	0.236	127.428	179149.0
130	0.189	0.39	-14.497	0.0353	0.257	0.000152	0.122	0.32	169.563	370867.0
131	0.757	0.651	-14.916	0.0333	0.214	0.261	0.0902	0.861	124.368	332230.0
132	0.556	0.913	-2.36	0.0437	0.0193	8.59e-06	0.346	0.73	96.184	282160.0
133	0.454	0.788	-6.748	0.0371	0.574	0.000766	0.0859	0.52	126.15	294720.0
134	0.557	0.533	-6.817	0.0252	0.0492	0.0	0.205	0.233	143.994	238733.0
135	0.243	0.609	-8.451	0.0323	0.663	1.13e-05	0.221	0.333	166.668	258027.0
136	0.863	0.408	-10.558	0.0505	0.00334	9.56e-06	0.224	0.819	89.127	182547.0
137	0.566	0.834	-8.412	0.0298	0.00277	0.008	0.0625	0.621	123.296	331560.0
138	0.674	0.347	-17.707	0.0364	0.396	1.05e-05	0.0916	0.647	102.013	267267.0
139	0.524	0.807	-4.16	0.0579	0.00415	0.000834	0.212	0.62	124.127	246813.0
140	0.489	0.483	-9.466	0.0275	0.42	0.0028	0.236	0.333	136.822	226706.0
141	0.584	0.533	-7.11	0.0305	0.684	0.0	0.306	0.224	131.745	288427.0
142	0.588	0.845	-4.497	0.0377	0.00869	0.0	0.326	0.745	138.014	231560.0
143	0.657	0.435	-15.707	0.0552	0.739	0.0	0.167	0.771	135.975	181133.0
