,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Power,0.542,0.914,-4.747,0.113,0.0161,0.0,0.744,0.576,153.993,292093.0
Give It Up,0.862,0.624,-11.63,0.0565,0.0192,0.000153,0.0465,0.882,124.896,254240.0
Ferrari,0.847,0.69,-7.877,0.0493,0.0127,6e-05,0.0526,0.692,125.004,186662.0
Heaven Takes You Home (feat. Connie Constance),0.665,0.738,-5.931,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,214071.0
Move Your Body,0.848,0.821,-5.408,0.0527,0.0169,0.000403,0.0962,0.249,125.051,157445.0
Sun Goes Down (Sound Of Violence),0.69,0.906,-5.606,0.303,0.0427,1.39e-06,0.223,0.494,125.94,245714.0
Always,0.174,0.742,-5.93,0.0485,0.00181,0.281,0.198,0.36,163.378,223747.0
Be Someone,0.711,0.722,-8.438,0.202,0.101,1.26e-05,0.628,0.398,120.058,166005.0
Down Under (feat. Colin Hay) (Majestic Remix),0.863,0.915,-6.289,0.402,0.0136,0.0288,0.492,0.743,125.012,180480.0
Highs And Lows,0.819,0.756,-6.962,0.345,0.0102,0.0,0.0952,0.36,109.996,174602.0
Hippies (feat. Two Another),0.911,0.656,-5.255,0.321,0.0115,9.34e-06,0.101,0.81,121.012,176125.0
Stay The Night,0.596,0.738,-3.109,0.0411,0.109,0.0,0.0947,0.461,127.961,217347.0
2MUCH (feat. Kyra Mastro),0.722,0.709,-8.537,0.0592,0.0151,0.00404,0.289,0.197,124.975,182400.0
Descobridor dos Sete Mares: Remix,0.748,0.944,-4.872,0.0712,0.0108,0.0109,0.19,0.711,127.965,191250.0
Do It To It,0.854,0.806,-8.262,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890.0
You Give Me A Feeling,0.761,0.867,-6.168,0.0499,0.259,0.615,0.0689,0.679,126.03,185896.0
Nah (feat. Sinead Harnett),0.725,0.836,-5.562,0.0422,0.059,2.4e-06,0.117,0.589,123.06,169779.0
Closer (Cool Keedz Remix),0.621,0.833,-6.497,0.0331,0.0169,0.596,0.157,0.443,125.053,147360.0
Shout It Back,0.851,0.856,-5.863,0.0476,0.00632,0.00611,0.15,0.605,124.995,203146.0
Groovejet (If This Ain't Love) [feat. Sophie Ellis-Bextor],0.719,0.806,-6.802,0.0389,0.000132,0.0889,0.361,0.626,123.037,227619.0
Bad Habits,0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747.0
Cold Heart - PNAU Remix,0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735.0
Don't Be Shy,0.77,0.787,-3.748,0.0583,0.198,0.0,0.262,0.513,119.986,140500.0
U&Me,0.587,0.722,-8.332,0.0574,0.133,0.00322,0.133,0.294,81.973,198840.0
Stupid Feelings,0.715,0.778,-6.546,0.0365,0.0152,0.0,0.121,0.756,123.954,166925.0
NINGUÉM ME ENSINOU (feat. Lagum) - KVSH REMIX,0.656,0.806,-9.293,0.062,0.0312,8.37e-05,0.293,0.512,128.011,191250.0
Never Going Home,0.836,0.846,-4.673,0.0392,0.0907,0.047,0.057,0.942,122.042,169945.0
You for Me,0.733,0.886,-1.856,0.0426,0.0481,1.81e-06,0.191,0.696,126.031,175435.0
Ghost,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190.0
Closure,0.605,0.707,-7.734,0.046,0.0484,0.000122,0.122,0.6,113.772,183133.0
Summer Thing,0.768,0.649,-8.508,0.0304,0.107,0.0202,0.133,0.36,122.009,149487.0
Turning Me Up (Hadal Ahbek),0.744,0.816,-3.933,0.0372,0.144,8.51e-06,0.0902,0.748,120.062,144000.0
Going Dumb,0.834,0.678,-6.242,0.0515,0.0546,0.263,0.103,0.551,121.995,168601.0
BED,0.733,0.664,-6.163,0.295,0.102,0.0,0.191,0.557,148.005,288133.0
Make Me Feel,0.859,0.413,-7.399,0.182,0.132,0.0,0.334,0.697,115.035,194230.0
Rasputin,0.758,0.913,-2.926,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210.0
Vida Louca (Bruno Be & Breaking Beattz Remix),0.835,0.696,-8.161,0.0619,0.00981,0.0212,0.0829,0.237,124.008,163902.0
Think - Original Mix,0.85,0.784,-2.945,0.238,0.00305,0.659,0.419,0.677,123.008,280976.0
Mania De Você - Dubdogz & Watzgood Remix / Radio Edit,0.786,0.842,-7.316,0.0662,0.0992,0.0805,0.169,0.694,124.997,195840.0
Trouble - Spotify Singles,0.737,0.615,-7.971,0.0682,0.0516,0.00219,0.0954,0.717,109.992,170087.0
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,169153.0
Free,0.877,0.517,-5.426,0.0706,0.217,0.0,0.143,0.255,119.996,162053.0
Believe Me,0.629,0.876,-5.572,0.0408,0.129,1.39e-06,0.29,0.645,124.999,188260.0
Várias Queixas (Remix) (feat. Gilsons),0.786,0.833,-5.898,0.0526,0.0557,0.00508,0.312,0.605,121.021,152851.0
Head & Heart (feat. MNEK),0.734,0.874,-3.158,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028.0
With Me,0.823,0.542,-5.74,0.0432,0.0498,4.82e-05,0.15,0.463,123.975,182056.0
Turn Back Time,0.751,0.783,-7.974,0.0332,0.176,0.000933,0.114,0.398,123.998,147261.0
Sunny - Edit,0.654,0.878,-4.539,0.0435,0.000927,0.073,0.329,0.607,122.993,176570.0
